AUDIO,TEXTO ORIGINAL,TEXTO DEL AUDIO,CONCORDANCIA
/srv/speechrecognition/archivos/BBVA INV DE MERC AUDIO 1.wav,"BBVA, busca fomentar el desarrollo económico de nuestro país, por medio de su participación en las inversiones que nuestros clientes de segmento Gobierno pueden realizar con nosotros.",BBVA Busca fomentar el desarrollo económico de nuestro país por medio de su participación en las inversiones que nuestros clientes de segmento gobierno pueden realizar con nosotros,100
/srv/speechrecognition/archivos/BBVA INV DE MERC AUDIO 2.wav,"Tú, como pilar fundamental en BBVA, tienes el compromiso de orientar a los clientes de este segmento de manera íntegra y eficaz, apegado siempre a la ley y a los lineamientos y protocolos establecidos por el banco; asimismo, debes brindar un servicio único y de excelencia a nuestros clientes para lograr su confianza y ofrecer productos con un profundo conocimiento de ellos, así como de nuestros clientes.",tú como Pilar fundamental en BBVA tienes el compromiso de orientar a los clientes de este segmento de manera Integra y eficaz apegado siempre a la ley y a los lineamientos y protocolos establecidos por el banco Asimismo debes brindar un servicio único y de excelencia a nuestros clientes para lograr su confianza y ofrecer productos con un profundo conocimiento de ellos así como de nuestros clientes,100
/srv/speechrecognition/archivos/BBVA INV DE MERC AUDIO 3.wav,"Tener conocimiento profundo de nuestros clientes de Gobierno implica conocer y comprender los orígenes de los recursos públicos. En este sentido, cabe destacar que su origen principal implica los ramos 28 y 33.",tener conocimiento profundo de nuestros clientes de gobierno implica conocer y comprender los orígenes de los recursos públicos en este sentido Cabe destacar que su origen principal implica los Ramos 28 y 33,100
/srv/speechrecognition/archivos/BBVA INV DE MERC AUDIO 4.wav,Al ramo 28 pertenecen los recursos públicos de la actividad económica y la recaudación de los Estados y Municipios que pretenden generar incentivos económicos para el incremento de la economía y el esfuerzo recaudatorio.,el ramo 28 pertenece los recursos públicos de la actividad económica y la recaudación de los estados y municipios que pretenden generar incentivos económicos para el incremento de la economía y el esfuerzo recaudatorio,99
/srv/speechrecognition/archivos/BBVA INV DE MERC AUDIO 5.wav,Estos recursos no tienen un destino específico en el gasto de los Gobiernos locales.,estos recursos no tienen un destino específico en el gasto de los gobiernos locales,100
/srv/speechrecognition/archivos/BBVA INV DE MERC AUDIO 6.wav,"Los recursos con origen en el ramo 33 son transferidos a las Haciendas Públicas de los estados y/o municipios; estos recursos están destinados a actividades relacionadas con educación básica y normal, infraestructura educativa, educación tecnológica, salud, combate a la pobreza, asistencia social y adultos. mayores y el fortalecimiento de la seguridad pública municipal.",los recursos con origen en el ramo 33 son transferidos a las haciendas públicas de los estados y o municipios estos recursos están destinados a actividades relacionadas con educación básica y normal infraestructura educativa educación tecnológica salud combate a la Pobreza asistencia social y adultos mayores y el fortalecimiento de la seguridad pública municipal,100
/srv/speechrecognition/archivos/BBVA INV DE MERC AUDIO 7.wav,"Lo anterior tiene su base legal en el Capítulo V de la Ley de la Coordinación Fiscal, artículos 25 a 51, en donde se establecen las aportaciones federales para los fondos.",lo anterior tiene su base legal en el capítulo 4 de la ley de la coordinación fiscal artículos 2551 En dónde se establecen las aportaciones federales para los fondos,98
/srv/speechrecognition/archivos/BBVA INV DE MERC AUDIO 21.wav,No existe el archivo!
/srv/speechrecognition/archivos/BBVA INV DE MERC AUDIO 23.wav,"Cuatro: Fondos de Inversión en Instrumentos de Deuda. Invierten. Activos Objeto de Inversión que representan deuda de los emisores (Gobierno Federal, banco o empresas privadas). Ganancias: De intereses y en forma secundaria, por la compraventa de los títulos.",4 fondos de inversión en instrumentos de deuda invierten activos objetos de inversión que representan deuda de los emisores Gobierno Federal banco o empresas privadas ganancias de intereses y en forma secundaria de la compraventa de los títulos,97
/srv/speechrecognition/archivos/BBVA INV DE MERC AUDIO 25.wav,I. El porcentaje máximo del activo neto del fondo que podrá invertirse en valores de un mismo emisor.,primero el porcentaje máximo del activo neto del fondo podría invertirse en valores de un mismo emisor,94
